Species,Location,GISD_status,EASIN_status,invasive_flag
Austrominius modestus,United Kingdom,Austrominius modestus; Not in GISD,No_EASIN_data,GISD_listed_globally
Balanus glandula,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Balanus trigonus,Greece,Balanus trigonus; Not in GISD,No_EASIN_data,GISD_listed_globally
Balanus trigonus,Portugal,Balanus trigonus; Not in GISD,No_EASIN_data,GISD_listed_globally
Balanus trigonus,Spain,Balanus trigonus; Not in GISD,Not_listed,GISD_listed_globally
Bathycoccus prasinos,Denmark,Bathycoccus prasinos; Not in GISD,No_EASIN_data,GISD_listed_globally
Bathycoccus prasinos,France,Bathycoccus prasinos; Not in GISD,Not_listed,GISD_listed_globally
Bathycoccus prasinos,Germany,Bathycoccus prasinos; Not in GISD,No_EASIN_data,GISD_listed_globally
Bathycoccus prasinos,Greece,Bathycoccus prasinos; Not in GISD,No_EASIN_data,GISD_listed_globally
Bathycoccus prasinos,Netherlands,Bathycoccus prasinos; Not in GISD,No_EASIN_data,GISD_listed_globally
Bathycoccus prasinos,Norway,Bathycoccus prasinos; Not in GISD,No_EASIN_data,GISD_listed_globally
Bathycoccus prasinos,Poland,Bathycoccus prasinos; Not in GISD,No_EASIN_data,GISD_listed_globally
Bathycoccus prasinos,Portugal,Bathycoccus prasinos; Not in GISD,No_EASIN_data,GISD_listed_globally
Bathycoccus prasinos,Spain,Bathycoccus prasinos; Not in GISD,Not_listed,GISD_listed_globally
Bathycoccus prasinos,Ukraine,Bathycoccus prasinos; Not in GISD,Country_not_mapped,GISD_listed_globally
Bathycoccus prasinos,United Kingdom,Bathycoccus prasinos; Not in GISD,No_EASIN_data,GISD_listed_globally
Batrachospermum gelatinosum,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Bifurcaria bifurcata,Spain,Bifurcaria bifurcata; Not in GISD,Not_listed,GISD_listed_globally
Bigelowiella natans,Greece,Bigelowiella natans; Not in GISD,No_EASIN_data,GISD_listed_globally
Bittium reticulatum,Greece,Bittium reticulatum; Not in GISD,No_EASIN_data,GISD_listed_globally
Bittium reticulatum,Italy,Bittium reticulatum; Not in GISD,No_EASIN_data,GISD_listed_globally
Bittium reticulatum,Norway,Bittium reticulatum; Not in GISD,No_EASIN_data,GISD_listed_globally
Bittium reticulatum,Portugal,Bittium reticulatum; Not in GISD,No_EASIN_data,GISD_listed_globally
Bittium reticulatum,Spain,Bittium reticulatum; Not in GISD,Not_listed,GISD_listed_globally
Bittium reticulatum,Ukraine,Bittium reticulatum; Not in GISD,Country_not_mapped,GISD_listed_globally
Biuve fulvipunctata,Greece,Biuve fulvipunctata; Not in GISD,No_EASIN_data,GISD_listed_globally
Blatta orientalis,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Boccardiella hamata,Netherlands,Boccardiella hamata; Not in GISD,No_EASIN_data,GISD_listed_globally
Bombus terrestris,United Kingdom,Bombus terrestris; Not in GISD,No_EASIN_data,GISD_listed_globally
Bonnierilla similis,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Bougainvillia muscus,Greece,Bougainvillia muscus; Not in GISD,No_EASIN_data,GISD_listed_globally
Bougainvillia muscus,Italy,Bougainvillia muscus; Not in GISD,No_EASIN_data,GISD_listed_globally
Bougainvillia muscus,Norway,Bougainvillia muscus; Not in GISD,No_EASIN_data,GISD_listed_globally
Bougainvillia muscus,Portugal,Bougainvillia muscus; Not in GISD,No_EASIN_data,GISD_listed_globally
Brachionus angularis,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Brachionus calyciflorus,Ukraine,Brachionus calyciflorus; Not in GISD,Country_not_mapped,GISD_listed_globally
Branchiomma boholense,Greece,Branchiomma boholense; Not in GISD,No_EASIN_data,GISD_listed_globally
Brissopsis lyrifera,Greece,Brissopsis lyrifera; Not in GISD,No_EASIN_data,GISD_listed_globally
Brissopsis lyrifera,Norway,Brissopsis lyrifera; Not in GISD,No_EASIN_data,GISD_listed_globally
Bryocladia subtilissima,Netherlands,Bryocladia subtilissima; Not in GISD,No_EASIN_data,GISD_listed_globally
Bugula neritina,Greece,Bugula neritina; Invasive,No_EASIN_data,GISD_listed_globally
Bugula neritina,Portugal,Bugula neritina; Invasive,No_EASIN_data,GISD_listed_globally
Cadra cautella,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Caecum trachea,Italy,Caecum trachea; Not in GISD,No_EASIN_data,GISD_listed_globally
Calanus finmarchicus,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Calanus helgolandicus,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Calma gobioophaga,Denmark,Calma gobioophaga; Not in GISD,No_EASIN_data,GISD_listed_globally
Calocalanus curtus,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Calocalanus minutus,Greece,Calocalanus minutus; Not in GISD,No_EASIN_data,GISD_listed_globally
Campanularia hincksii,Greece,Campanularia hincksii; Not in GISD,No_EASIN_data,GISD_listed_globally
Campanularia hincksii,Italy,Campanularia hincksii; Not in GISD,No_EASIN_data,GISD_listed_globally
Capellinia doriae,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Carinina ochracea,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Carinina ochracea,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Cauloramphus magnus,Norway,Cauloramphus magnus; Not in GISD,No_EASIN_data,GISD_listed_globally
Celleporella hyalina,United Kingdom,Celleporella hyalina; Not in GISD,No_EASIN_data,GISD_listed_globally
Centropages hamatus,Germany,Centropages hamatus; Not in GISD,No_EASIN_data,GISD_listed_globally
Centropages hamatus,Netherlands,Centropages hamatus; Not in GISD,No_EASIN_data,GISD_listed_globally
Centropages hamatus,Norway,Centropages hamatus; Not in GISD,No_EASIN_data,GISD_listed_globally
Centropages ponticus,Greece,Centropages ponticus; Not in GISD,No_EASIN_data,GISD_listed_globally
Centropages ponticus,Italy,Centropages ponticus; Not in GISD,No_EASIN_data,GISD_listed_globally
Centropages ponticus,Ukraine,Centropages ponticus; Not in GISD,Country_not_mapped,GISD_listed_globally
Cephalothrix rufifrons,Norway,Cephalothrix rufifrons; Not in GISD,No_EASIN_data,GISD_listed_globally
Cephalothrix rufifrons,Portugal,Cephalothrix rufifrons; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros socialis,Denmark,Chaetoceros socialis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros socialis,Greece,Chaetoceros socialis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros socialis,Italy,Chaetoceros socialis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros socialis,Netherlands,Chaetoceros socialis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros socialis,Norway,Chaetoceros socialis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros socialis,Portugal,Chaetoceros socialis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros socialis,Spain,Chaetoceros socialis; Not in GISD,Not_listed,GISD_listed_globally
Chaetoceros socialis,Ukraine,Chaetoceros socialis; Not in GISD,Country_not_mapped,GISD_listed_globally
Chaetoceros socialis,United Kingdom,Chaetoceros socialis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros tenuissimus,Greece,Chaetoceros tenuissimus; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetoceros tenuissimus,Italy,Chaetoceros tenuissimus; Not in GISD,No_EASIN_data,GISD_listed_globally
Chaetogaster diaphanus,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Chamelea striatula,Spain,Chamelea striatula; Not in GISD,Not_listed,GISD_listed_globally
Chattonella marina,Netherlands,Chattonella marina; Not in GISD,No_EASIN_data,GISD_listed_globally
Chelicorophium maeoticum,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Chironomus salinarius,Ukraine,Invasive,Country_not_mapped,GISD_listed_globally
Chiton olivaceus,Greece,Chiton olivaceus; Not in GISD,No_EASIN_data,GISD_listed_globally
Chloroparvula pacifica,France,Chloroparvula pacifica; Not in GISD,Not_listed,GISD_listed_globally
Chloroparvula pacifica,Netherlands,Chloroparvula pacifica; Not in GISD,No_EASIN_data,GISD_listed_globally
Chloroparvula pacifica,Norway,Chloroparvula pacifica; Not in GISD,No_EASIN_data,GISD_listed_globally
Chloroparvula pacifica,Portugal,Chloroparvula pacifica; Not in GISD,No_EASIN_data,GISD_listed_globally
Chloroparvula pacifica,Spain,Chloroparvula pacifica; Not in GISD,Not_listed,GISD_listed_globally
Chloroparvula pacifica,United Kingdom,Chloroparvula pacifica; Not in GISD,No_EASIN_data,GISD_listed_globally
Chondracanthus acicularis,Greece,Chondracanthus acicularis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chondracanthus acicularis,Portugal,Chondracanthus acicularis; Not in GISD,No_EASIN_data,GISD_listed_globally
Chrysochromulina parva,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Chthamalus montagui,France,Chthamalus montagui; Not in GISD,Not_listed,GISD_listed_globally
Chthamalus montagui,Greece,Chthamalus montagui; Not in GISD,No_EASIN_data,GISD_listed_globally
Chthamalus montagui,Portugal,Chthamalus montagui; Not in GISD,No_EASIN_data,GISD_listed_globally
Chthamalus montagui,Spain,Chthamalus montagui; Not in GISD,Not_listed,GISD_listed_globally
Chthamalus montagui,Ukraine,Chthamalus montagui; Not in GISD,Country_not_mapped,GISD_listed_globally
Chthamalus stellatus,France,Chthamalus stellatus; Not in GISD,Not_listed,GISD_listed_globally
Chthamalus stellatus,United Kingdom,Chthamalus stellatus; Not in GISD,No_EASIN_data,GISD_listed_globally
Cladosporium sphaerospermum,Greece,Cladosporium sphaerospermum; Not in GISD,No_EASIN_data,GISD_listed_globally
Clanculus cruciatus,Spain,Clanculus cruciatus; Not in GISD,Not_listed,GISD_listed_globally
Clausocalanus arcuicornis,France,Clausocalanus arcuicornis; Not in GISD,Not_listed,GISD_listed_globally
Clausocalanus arcuicornis,Spain,Clausocalanus arcuicornis; Not in GISD,Not_listed,GISD_listed_globally
Clausocalanus furcatus,France,Clausocalanus furcatus; Not in GISD,Not_listed,GISD_listed_globally
Clausocalanus furcatus,Greece,Clausocalanus furcatus; Not in GISD,No_EASIN_data,GISD_listed_globally
Clausocalanus furcatus,Italy,Clausocalanus furcatus; Not in GISD,No_EASIN_data,GISD_listed_globally
Clausocalanus furcatus,Portugal,Clausocalanus furcatus; Not in GISD,No_EASIN_data,GISD_listed_globally
Clausocalanus furcatus,Spain,Clausocalanus furcatus; Not in GISD,Not_listed,GISD_listed_globally
Clausocalanus lividus,Italy,Clausocalanus lividus; Not in GISD,No_EASIN_data,GISD_listed_globally
Clausocalanus mastigophorus,Italy,Clausocalanus mastigophorus; Not in GISD,No_EASIN_data,GISD_listed_globally
Clausocalanus paululus,Italy,Clausocalanus paululus; Not in GISD,No_EASIN_data,GISD_listed_globally
Clausocalanus paululus,Spain,Clausocalanus paululus; Not in GISD,Not_listed,GISD_listed_globally
Clausocalanus pergens,Portugal,Clausocalanus pergens; Not in GISD,No_EASIN_data,GISD_listed_globally
Clausocalanus pergens,Spain,Clausocalanus pergens; Not in GISD,Not_listed,GISD_listed_globally
Clava multicornis,Norway,Clava multicornis; Not in GISD,No_EASIN_data,GISD_listed_globally
Clava multicornis,Portugal,Clava multicornis; Not in GISD,No_EASIN_data,GISD_listed_globally
Clione limacina,Norway,Clione limacina; Not in GISD,No_EASIN_data,GISD_listed_globally
Cloeon dipterum,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Clytia gracilis,Greece,Clytia gracilis; Not in GISD,No_EASIN_data,GISD_listed_globally
Clytia gracilis,Spain,Clytia gracilis; Not in GISD,Not_listed,GISD_listed_globally
Clytia hemisphaerica,Greece,Clytia hemisphaerica; Not in GISD,No_EASIN_data,GISD_listed_globally
Clytia hemisphaerica,Netherlands,Clytia hemisphaerica; Not in GISD,No_EASIN_data,GISD_listed_globally
Clytia hemisphaerica,Norway,Clytia hemisphaerica; Not in GISD,No_EASIN_data,GISD_listed_globally
Clytia hemisphaerica,Portugal,Clytia hemisphaerica; Not in GISD,No_EASIN_data,GISD_listed_globally
Clytia noliformis,Greece,Clytia noliformis; Not in GISD,No_EASIN_data,GISD_listed_globally
Clytia noliformis,Italy,Clytia noliformis; Not in GISD,No_EASIN_data,GISD_listed_globally
Cobitis atlantica,Italy,Cobitis atlantica; Not in GISD,No_EASIN_data,GISD_listed_globally
Cobitis atlantica,Ukraine,Cobitis atlantica; Not in GISD,Country_not_mapped,GISD_listed_globally
Conopeum chesapeakensis,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Corambe obscura,Netherlands,Corambe obscura; Not in GISD,No_EASIN_data,GISD_listed_globally
Cordylophora caspia,Netherlands,Cordylophora caspia; Not in GISD,No_EASIN_data,GISD_listed_globally
Cordylophora caspia,United Kingdom,Cordylophora caspia; Not in GISD,No_EASIN_data,GISD_listed_globally
Cornularia cornucopiae,Greece,Cornularia cornucopiae; Not in GISD,No_EASIN_data,GISD_listed_globally
Cornularia cornucopiae,Italy,Cornularia cornucopiae; Not in GISD,No_EASIN_data,GISD_listed_globally
Corophium multisetosum,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Corymorpha nutans,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Corynoneura carriana,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Coscinodiscus granii,Netherlands,Coscinodiscus granii; Not in GISD,No_EASIN_data,GISD_listed_globally
Coscinodiscus granii,Portugal,Coscinodiscus granii; Not in GISD,No_EASIN_data,GISD_listed_globally
Coscinodiscus granii,United Kingdom,Coscinodiscus granii; Not in GISD,No_EASIN_data,GISD_listed_globally
Cradoscrupocellaria reptans,United Kingdom,Cradoscrupocellaria reptans; Not in GISD,No_EASIN_data,GISD_listed_globally
Crematogaster scutellaris,Italy,Crematogaster scutellaris; Not in GISD,No_EASIN_data,GISD_listed_globally
Crepidula fornicata,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Cryptosula pallasiana,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Ctenocalanus vanus,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Ctenodrilus serratus,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Cunea russae,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Cyclops abyssorum,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Cyclostephanos dubius,Netherlands,Cyclostephanos dubius; Not in GISD,No_EASIN_data,GISD_listed_globally
Cyclostephanos dubius,United Kingdom,Cyclostephanos dubius; Not in GISD,No_EASIN_data,GISD_listed_globally
Cyclostephanos invisitatus,NA,Invasive,Country_not_mapped,GISD_listed_globally
Cyclostephanos invisitatus,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Cyclostephanos makarovae,Netherlands,Invasive,No_EASIN_data,GISD_listed_globally
Cylindrotheca closterium,Norway,Cylindrotheca closterium; Not in GISD,No_EASIN_data,GISD_listed_globally
Cylindrotheca closterium,Portugal,Cylindrotheca closterium; Not in GISD,No_EASIN_data,GISD_listed_globally
Cylindrotheca closterium,Ukraine,Cylindrotheca closterium; Not in GISD,Country_not_mapped,GISD_listed_globally
Dasya collinsiana,Greece,Dasya collinsiana; Not in GISD,No_EASIN_data,GISD_listed_globally
Dendrodoa grossularia,United Kingdom,Dendrodoa grossularia; Not in GISD,No_EASIN_data,GISD_listed_globally
Dendropoma petraeum,Greece,Dendropoma petraeum; Not in GISD,No_EASIN_data,GISD_listed_globally
Dero digitata,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Desoria olivacea,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Diadumene lineata,Ukraine,Invasive,Country_not_mapped,GISD_listed_globally
Dictyosiphon ekmanii,Norway,Dictyosiphon ekmanii; Not in GISD,No_EASIN_data,GISD_listed_globally
Dictyosiphon foeniculaceus,Norway,Dictyosiphon foeniculaceus; Not in GISD,No_EASIN_data,GISD_listed_globally
Dinobryon bavaricum,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Dinophilus gyrociliatus,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Dinophilus gyrociliatus,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Diogenes ponticus,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Diopatra neapolitana,Greece,Invasive,No_EASIN_data,GISD_listed_globally
Diphylleia rotans,NA,Invasive,Country_not_mapped,GISD_listed_globally
Discostella angainor,NA,Discostella angainor; Not in GISD,Country_not_mapped,GISD_listed_globally
Discostella angainor,Netherlands,Discostella angainor; Not in GISD,No_EASIN_data,GISD_listed_globally
Ditrichocorycaeus anglicus,Norway,Invasive,No_EASIN_data,GISD_listed_globally
Ditrichocorycaeus anglicus,Portugal,Invasive,No_EASIN_data,GISD_listed_globally
Ditylum brightwellii,Denmark,Ditylum brightwellii; Not in GISD,No_EASIN_data,GISD_listed_globally
Ditylum brightwellii,Netherlands,Ditylum brightwellii; Not in GISD,No_EASIN_data,GISD_listed_globally
Ditylum brightwellii,Norway,Ditylum brightwellii; Not in GISD,No_EASIN_data,GISD_listed_globally
Ditylum brightwellii,Portugal,Ditylum brightwellii; Not in GISD,No_EASIN_data,GISD_listed_globally
