Species,Location,EASIN_status,GISD_status,invasive_flag
Skeletonema potamos,Finland,No_EASIN_data,Skeletonema potamos; Not in GISD,GISD_listed_globally
Thalassiosira pseudonana,Finland,No_EASIN_data,Thalassiosira pseudonana; Not in GISD,GISD_listed_globally
Ascidia ahodori,France,Not_listed,Ascidia ahodori; Not in GISD,GISD_listed_globally
Asterionellopsis thurstonii,France,Not_listed,Asterionellopsis thurstonii; Not in GISD,GISD_listed_globally
Bathycoccus prasinos,France,Not_listed,Bathycoccus prasinos; Not in GISD,GISD_listed_globally
Chloroparvula pacifica,France,Not_listed,Chloroparvula pacifica; Not in GISD,GISD_listed_globally
Chthamalus montagui,France,Not_listed,Chthamalus montagui; Not in GISD,GISD_listed_globally
Chthamalus stellatus,France,Not_listed,Chthamalus stellatus; Not in GISD,GISD_listed_globally
Clausocalanus arcuicornis,France,Not_listed,Clausocalanus arcuicornis; Not in GISD,GISD_listed_globally
Clausocalanus furcatus,France,Not_listed,Clausocalanus furcatus; Not in GISD,GISD_listed_globally
Micromonas pusilla,France,Not_listed,Micromonas pusilla; Not in GISD,GISD_listed_globally
Minutocellus polymorphus,France,Not_listed,Minutocellus polymorphus; Not in GISD,GISD_listed_globally
Nitophyllum punctatum,France,Not_listed,Nitophyllum punctatum; Not in GISD,GISD_listed_globally
Oithona plumifera,France,Not_listed,Oithona plumifera; Not in GISD,GISD_listed_globally
Oncaea scottodicarloi,France,Not_listed,Oncaea scottodicarloi; Not in GISD,GISD_listed_globally
Orthopyxis everta,France,Not_listed,Orthopyxis everta; Not in GISD,GISD_listed_globally
Paracalanus quasimodo,France,Not_listed,Paracalanus quasimodo; Not in GISD,GISD_listed_globally
Paracentrotus lividus,France,Not_listed,Paracentrotus lividus; Not in GISD,GISD_listed_globally
Pelagomonas calceolata,France,Not_listed,Pelagomonas calceolata; Not in GISD,GISD_listed_globally
Phaeocystis globosa,France,Not_listed,Phaeocystis globosa; Not in GISD,GISD_listed_globally
Temora stylifera,France,Not_listed,Temora stylifera; Not in GISD,GISD_listed_globally
Thalassiosira profunda,France,Not_listed,Thalassiosira profunda; Not in GISD,GISD_listed_globally
Acartia bifilosa,Germany,No_EASIN_data,Acartia bifilosa; Not in GISD,GISD_listed_globally
Acartia tonsa,Germany,No_EASIN_data,Acartia tonsa; Not in GISD,GISD_listed_globally
Ahnfeltia borealis,Germany,No_EASIN_data,Ahnfeltia borealis; Not in GISD,GISD_listed_globally
Ahnfeltia plicata,Germany,No_EASIN_data,Ahnfeltia plicata; Not in GISD,GISD_listed_globally
Alitta succinea,Germany,No_EASIN_data,Alitta succinea; Invasive,GISD_listed_globally
Amphibalanus improvisus,Germany,No_EASIN_data,Amphibalanus improvisus; Not in GISD,GISD_listed_globally
Attheya longicornis,Germany,No_EASIN_data,Attheya longicornis; Not in GISD,GISD_listed_globally
Aurelia aurita,Germany,No_EASIN_data,Aurelia aurita; Not in GISD,GISD_listed_globally
Bathycoccus prasinos,Germany,No_EASIN_data,Bathycoccus prasinos; Not in GISD,GISD_listed_globally
Centropages hamatus,Germany,No_EASIN_data,Centropages hamatus; Not in GISD,GISD_listed_globally
Gonothyraea loveni,Germany,No_EASIN_data,Gonothyraea loveni; Not in GISD,GISD_listed_globally
Guinardia delicatula,Germany,No_EASIN_data,Guinardia delicatula; Not in GISD,GISD_listed_globally
Leucocryptos marina,Germany,No_EASIN_data,Leucocryptos marina; Not in GISD,GISD_listed_globally
Litoditis marina,Germany,No_EASIN_data,Litoditis marina; Not in GISD,GISD_listed_globally
Marenzelleria neglecta,Germany,No_EASIN_data,Marenzelleria neglecta; Not in GISD,GISD_listed_globally
Micromonas pusilla,Germany,No_EASIN_data,Micromonas pusilla; Not in GISD,GISD_listed_globally
Mya arenaria,Germany,No_EASIN_data,Mya arenaria; Invasive,GISD_listed_globally
Nannochloropsis limnetica,Germany,No_EASIN_data,Nannochloropsis limnetica; Not in GISD,GISD_listed_globally
Skeletonema menzelii,Germany,No_EASIN_data,Skeletonema menzelii; Not in GISD,GISD_listed_globally
Sulcospira paludiformis,Germany,No_EASIN_data,Sulcospira paludiformis; Not in GISD,GISD_listed_globally
Sundstroemia setigera,Germany,No_EASIN_data,Sundstroemia setigera; Not in GISD,GISD_listed_globally
Synchaeta baltica,Germany,No_EASIN_data,Synchaeta baltica; Not in GISD,GISD_listed_globally
Acanthonyx lunulatus,Greece,No_EASIN_data,Acanthonyx lunulatus; Not in GISD,GISD_listed_globally
Acartia clausii,Greece,No_EASIN_data,Acartia clausii; Not in GISD,GISD_listed_globally
Acartia margalefi,Greece,No_EASIN_data,Acartia margalefi; Not in GISD,GISD_listed_globally
Acrochaetium catenulatum,Greece,No_EASIN_data,Acrochaetium catenulatum; Not in GISD,GISD_listed_globally
Actinostella flosculifera,Greece,No_EASIN_data,Actinostella flosculifera; Not in GISD,GISD_listed_globally
Aequorea macrodactyla,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Agalma elegans,Greece,No_EASIN_data,Agalma elegans; Not in GISD,GISD_listed_globally
Amphibalanus amphitrite,Greece,No_EASIN_data,Amphibalanus amphitrite; Not in GISD,GISD_listed_globally
Anacaena lutescens,Greece,No_EASIN_data,Anacaena lutescens; Not in GISD,GISD_listed_globally
Ascidia ahodori,Greece,No_EASIN_data,Ascidia ahodori; Not in GISD,GISD_listed_globally
Asterionellopsis thurstonii,Greece,No_EASIN_data,Asterionellopsis thurstonii; Not in GISD,GISD_listed_globally
Aurelia coerulea,Greece,No_EASIN_data,Aurelia coerulea; Not in GISD,GISD_listed_globally
Aureococcus anophagefferens,Greece,No_EASIN_data,Aureococcus anophagefferens; Not in GISD,GISD_listed_globally
Balanus trigonus,Greece,No_EASIN_data,Balanus trigonus; Not in GISD,GISD_listed_globally
Bathycoccus prasinos,Greece,No_EASIN_data,Bathycoccus prasinos; Not in GISD,GISD_listed_globally
Bigelowiella natans,Greece,No_EASIN_data,Bigelowiella natans; Not in GISD,GISD_listed_globally
Bittium reticulatum,Greece,No_EASIN_data,Bittium reticulatum; Not in GISD,GISD_listed_globally
Biuve fulvipunctata,Greece,No_EASIN_data,Biuve fulvipunctata; Not in GISD,GISD_listed_globally
Blatta orientalis,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Bonnierilla similis,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Bougainvillia muscus,Greece,No_EASIN_data,Bougainvillia muscus; Not in GISD,GISD_listed_globally
Branchiomma boholense,Greece,No_EASIN_data,Branchiomma boholense; Not in GISD,GISD_listed_globally
Brissopsis lyrifera,Greece,No_EASIN_data,Brissopsis lyrifera; Not in GISD,GISD_listed_globally
Bugula neritina,Greece,No_EASIN_data,Bugula neritina; Invasive,GISD_listed_globally
Calocalanus curtus,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Calocalanus minutus,Greece,No_EASIN_data,Calocalanus minutus; Not in GISD,GISD_listed_globally
Campanularia hincksii,Greece,No_EASIN_data,Campanularia hincksii; Not in GISD,GISD_listed_globally
Carinina ochracea,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Centropages ponticus,Greece,No_EASIN_data,Centropages ponticus; Not in GISD,GISD_listed_globally
Chaetoceros socialis,Greece,No_EASIN_data,Chaetoceros socialis; Not in GISD,GISD_listed_globally
Chaetoceros tenuissimus,Greece,No_EASIN_data,Chaetoceros tenuissimus; Not in GISD,GISD_listed_globally
Chiton olivaceus,Greece,No_EASIN_data,Chiton olivaceus; Not in GISD,GISD_listed_globally
Chondracanthus acicularis,Greece,No_EASIN_data,Chondracanthus acicularis; Not in GISD,GISD_listed_globally
Chthamalus montagui,Greece,No_EASIN_data,Chthamalus montagui; Not in GISD,GISD_listed_globally
Cladosporium sphaerospermum,Greece,No_EASIN_data,Cladosporium sphaerospermum; Not in GISD,GISD_listed_globally
Clausocalanus furcatus,Greece,No_EASIN_data,Clausocalanus furcatus; Not in GISD,GISD_listed_globally
Cloeon dipterum,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Clytia gracilis,Greece,No_EASIN_data,Clytia gracilis; Not in GISD,GISD_listed_globally
Clytia hemisphaerica,Greece,No_EASIN_data,Clytia hemisphaerica; Not in GISD,GISD_listed_globally
Clytia noliformis,Greece,No_EASIN_data,Clytia noliformis; Not in GISD,GISD_listed_globally
Cornularia cornucopiae,Greece,No_EASIN_data,Cornularia cornucopiae; Not in GISD,GISD_listed_globally
Ctenodrilus serratus,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Dasya collinsiana,Greece,No_EASIN_data,Dasya collinsiana; Not in GISD,GISD_listed_globally
Dendropoma petraeum,Greece,No_EASIN_data,Dendropoma petraeum; Not in GISD,GISD_listed_globally
Dinophilus gyrociliatus,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Diogenes ponticus,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Diopatra neapolitana,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Dodecaceria ater,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Echinocardium cordatum,Greece,No_EASIN_data,Echinocardium cordatum; Not in GISD,GISD_listed_globally
Echinoplana celerrima,Greece,No_EASIN_data,Echinoplana celerrima; Not in GISD,GISD_listed_globally
Emplectonema gracile,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Eriphia verrucosa,Greece,No_EASIN_data,Eriphia verrucosa; Not in GISD,GISD_listed_globally
Eudactylopus spectabilis,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Eurythoe complanata,Greece,No_EASIN_data,Eurythoe complanata; Not in GISD,GISD_listed_globally
Fibrocapsa japonica,Greece,No_EASIN_data,Fibrocapsa japonica; Not in GISD,GISD_listed_globally
Gammaropsis digitata,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Gastroclonium reflexum,Greece,No_EASIN_data,Gastroclonium reflexum; Not in GISD,GISD_listed_globally
Gelidium crinale,Greece,No_EASIN_data,Gelidium crinale; Not in GISD,GISD_listed_globally
Gloiocallis dendroidea,Greece,No_EASIN_data,Gloiocallis dendroidea; Not in GISD,GISD_listed_globally
Grateloupia turuturu,Greece,No_EASIN_data,Grateloupia turuturu; Not in GISD,GISD_listed_globally
Guinardia striata,Greece,No_EASIN_data,Guinardia striata; Not in GISD,GISD_listed_globally
Haliclona cinerea,Greece,No_EASIN_data,Haliclona cinerea; Not in GISD,GISD_listed_globally
Haminoea orteai,Greece,No_EASIN_data,Haminoea orteai; Not in GISD,GISD_listed_globally
Helminthocladia australis,Greece,No_EASIN_data,Helminthocladia australis; Not in GISD,GISD_listed_globally
Herposiphonia akidoglossa,Greece,No_EASIN_data,Herposiphonia akidoglossa; Not in GISD,GISD_listed_globally
Herposiphonia pecten-veneris,Greece,No_EASIN_data,Herposiphonia pecten-veneris; Not in GISD,GISD_listed_globally
Herposiphonia secunda,Greece,No_EASIN_data,Herposiphonia secunda; Not in GISD,GISD_listed_globally
Heterosigma akashiwo,Greece,No_EASIN_data,Heterosigma akashiwo; Not in GISD,GISD_listed_globally
Holothuria sanctori,Greece,No_EASIN_data,Holothuria sanctori; Not in GISD,GISD_listed_globally
Homo sapiens,Greece,No_EASIN_data,Homo sapiens; Not in GISD,GISD_listed_globally
Hydrobius fuscipes,Greece,No_EASIN_data,Hydrobius fuscipes; Not in GISD,GISD_listed_globally
Hymeniacidon perlevis,Greece,No_EASIN_data,Hymeniacidon perlevis; Not in GISD,GISD_listed_globally
Jania pedunculata,Greece,No_EASIN_data,Jania pedunculata; Not in GISD,GISD_listed_globally
Kapraunia schneideri,Greece,No_EASIN_data,Kapraunia schneideri; Not in GISD,GISD_listed_globally
Laurencia microcladia,Greece,No_EASIN_data,Laurencia microcladia; Not in GISD,GISD_listed_globally
Leucocryptos marina,Greece,No_EASIN_data,Leucocryptos marina; Not in GISD,GISD_listed_globally
Liagora nesophila,Greece,No_EASIN_data,Liagora nesophila; Not in GISD,GISD_listed_globally
Liagora viscida,Greece,No_EASIN_data,Liagora viscida; Not in GISD,GISD_listed_globally
Liposcelis bostrychophila,Greece,No_EASIN_data,Liposcelis bostrychophila; Not in GISD,GISD_listed_globally
Lissodendoryx carolinensis,Greece,No_EASIN_data,Lissodendoryx carolinensis; Not in GISD,GISD_listed_globally
Lophocladia trichoclados,Greece,No_EASIN_data,Lophocladia trichoclados; Not in GISD,GISD_listed_globally
Mactra corallina,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Micromonas pusilla,Greece,No_EASIN_data,Micromonas pusilla; Not in GISD,GISD_listed_globally
Minutocellus polymorphus,Greece,No_EASIN_data,Minutocellus polymorphus; Not in GISD,GISD_listed_globally
Myrianida pachycera,Greece,No_EASIN_data,Myrianida pachycera; Not in GISD,GISD_listed_globally
Naineris setosa,Greece,No_EASIN_data,Naineris setosa; Not in GISD,GISD_listed_globally
Nannocalanus minor,Greece,No_EASIN_data,Nannocalanus minor; Not in GISD,GISD_listed_globally
Nanomia bijuga,Greece,No_EASIN_data,Nanomia bijuga; Not in GISD,GISD_listed_globally
Navicula avium,Greece,No_EASIN_data,Navicula avium; Not in GISD,GISD_listed_globally
Nemalecium lighti,Greece,No_EASIN_data,Nemalecium lighti; Not in GISD,GISD_listed_globally
Obelia dichotoma,Greece,No_EASIN_data,Obelia dichotoma; Not in GISD,GISD_listed_globally
Obelia geniculata,Greece,No_EASIN_data,Obelia geniculata; Not in GISD,GISD_listed_globally
Oithona nana,Greece,No_EASIN_data,Oithona nana; Not in GISD,GISD_listed_globally
Oncaea mediterranea,Greece,No_EASIN_data,Oncaea mediterranea; Not in GISD,GISD_listed_globally
Ophiactis simplex,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Pachychalina tenera,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Palisada tenerrima,Greece,No_EASIN_data,Palisada tenerrima; Not in GISD,GISD_listed_globally
Paracalanus nanus,Greece,No_EASIN_data,Paracalanus nanus; Not in GISD,GISD_listed_globally
Paracalanus parvus,Greece,No_EASIN_data,Paracalanus parvus; Not in GISD,GISD_listed_globally
Paracalanus quasimodo,Greece,No_EASIN_data,Paracalanus quasimodo; Not in GISD,GISD_listed_globally
Paracartia grani,Greece,No_EASIN_data,Paracartia grani; Not in GISD,GISD_listed_globally
Paracentrotus lividus,Greece,No_EASIN_data,Paracentrotus lividus; Not in GISD,GISD_listed_globally
Patella rustica,Greece,No_EASIN_data,Patella rustica; Not in GISD,GISD_listed_globally
Pelagomonas calceolata,Greece,No_EASIN_data,Pelagomonas calceolata; Not in GISD,GISD_listed_globally
Penilia avirostris,Greece,No_EASIN_data,Penilia avirostris; Not in GISD,GISD_listed_globally
Perforatus perforatus,Greece,No_EASIN_data,Perforatus perforatus; Not in GISD,GISD_listed_globally
Peridroma saucia,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Philine quadripartita,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Phorbas bihamiger,Greece,No_EASIN_data,Phorbas bihamiger; Not in GISD,GISD_listed_globally
Phoronis hippocrepia,Greece,No_EASIN_data,Phoronis hippocrepia; Not in GISD,GISD_listed_globally
Pleopis polyphemoides,Greece,No_EASIN_data,Pleopis polyphemoides; Not in GISD,GISD_listed_globally
Polycerella emertoni,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Polydora neocaeca,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Polysiphonia anomala,Greece,No_EASIN_data,Polysiphonia anomala; Not in GISD,GISD_listed_globally
Polysiphonia sertularioides,Greece,No_EASIN_data,Polysiphonia sertularioides; Not in GISD,GISD_listed_globally
Prionospio fallax,Greece,No_EASIN_data,Prionospio fallax; Not in GISD,GISD_listed_globally
Pseudevadne tergestina,Greece,No_EASIN_data,Pseudevadne tergestina; Not in GISD,GISD_listed_globally
Pseudo-nitzschia brasiliana,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Pseudo-nitzschia cuspidata,Greece,No_EASIN_data,Pseudo-nitzschia cuspidata; Not in GISD,GISD_listed_globally
Pseudo-nitzschia delicatissima,Greece,No_EASIN_data,Pseudo-nitzschia delicatissima; Not in GISD,GISD_listed_globally
Pseudo-nitzschia multistriata,Greece,No_EASIN_data,Pseudo-nitzschia multistriata; Not in GISD,GISD_listed_globally
Pseudo-nitzschia pseudodelicatissima,Greece,No_EASIN_data,Pseudo-nitzschia pseudodelicatissima; Not in GISD,GISD_listed_globally
Pseudochattonella farcimen,Greece,No_EASIN_data,Pseudochattonella farcimen; Not in GISD,GISD_listed_globally
Pseudochattonella verruculosa,Greece,No_EASIN_data,Pseudochattonella verruculosa; Not in GISD,GISD_listed_globally
Pseudonereis anomala,Greece,No_EASIN_data,Pseudonereis anomala; Not in GISD,GISD_listed_globally
Pseudopolydora floridensis,Greece,No_EASIN_data,Pseudopolydora floridensis; Not in GISD,GISD_listed_globally
Pseudopolydora paucibranchiata,Greece,No_EASIN_data,Pseudopolydora paucibranchiata; Not in GISD,GISD_listed_globally
Pterocladiella melanoidea,Greece,No_EASIN_data,Pterocladiella melanoidea; Not in GISD,GISD_listed_globally
Rocellaria dubia,Greece,No_EASIN_data,Rocellaria dubia; Not in GISD,GISD_listed_globally
Roxaniella jeffreysi,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Scolelepis mesnili,Greece,No_EASIN_data,Scolelepis mesnili; Not in GISD,GISD_listed_globally
Sicyonia carinata,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Skeletonema menzelii,Greece,No_EASIN_data,Skeletonema menzelii; Not in GISD,GISD_listed_globally
Skeletonema pseudocostatum,Greece,No_EASIN_data,Skeletonema pseudocostatum; Not in GISD,GISD_listed_globally
Solmundella bitentaculata,Greece,No_EASIN_data,Solmundella bitentaculata; Not in GISD,GISD_listed_globally
Spermatochnus paradoxus,Greece,No_EASIN_data,Spermatochnus paradoxus; Not in GISD,GISD_listed_globally
Spio decorata,Greece,No_EASIN_data,Spio decorata; Not in GISD,GISD_listed_globally
Spurilla neapolitana,Greece,No_EASIN_data,Spurilla neapolitana; Not in GISD,GISD_listed_globally
Stypopodium schimperi,Greece,No_EASIN_data,Stypopodium schimperi; Not in GISD,GISD_listed_globally
Subadyte pellucida,Greece,No_EASIN_data,Subadyte pellucida; Not in GISD,GISD_listed_globally
Sundstroemia setigera,Greece,No_EASIN_data,Sundstroemia setigera; Not in GISD,GISD_listed_globally
Syllis crassicirrata,Greece,No_EASIN_data,Syllis crassicirrata; Not in GISD,GISD_listed_globally
Synchaeta hutchingsi,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Synchaeta triophthalma,Greece,No_EASIN_data,Synchaeta triophthalma; Not in GISD,GISD_listed_globally
Tedania ignis,Greece,No_EASIN_data,Tedania ignis; Not in GISD,GISD_listed_globally
Temora stylifera,Greece,No_EASIN_data,Temora stylifera; Not in GISD,GISD_listed_globally
Tethya citrina,Greece,No_EASIN_data,Tethya citrina; Not in GISD,GISD_listed_globally
Thalassiosira profunda,Greece,No_EASIN_data,Thalassiosira profunda; Not in GISD,GISD_listed_globally
Trichogloeopsis pedicellata,Greece,No_EASIN_data,Trichogloeopsis pedicellata; Not in GISD,GISD_listed_globally
Trieres chinensis,Greece,No_EASIN_data,Trieres chinensis; Not in GISD,GISD_listed_globally
Trithemis kirbyi,Greece,No_EASIN_data,Trithemis kirbyi; Not in GISD,GISD_listed_globally
Turritopsis dohrnii,Greece,No_EASIN_data,Invasive,GISD_listed_globally
Watersipora subtorquata,Greece,No_EASIN_data,Watersipora subtorquata; Invasive,GISD_listed_globally
Xylophaga dorsalis,Greece,No_EASIN_data,Xylophaga dorsalis; Not in GISD,GISD_listed_globally
uncultured Corallinales,Greece,No_EASIN_data,uncultured Corallinales; Not in GISD,GISD_listed_globally
Acartia margalefi,Italy,No_EASIN_data,Acartia margalefi; Not in GISD,GISD_listed_globally
Amphinema rugosum,Italy,No_EASIN_data,Amphinema rugosum; Not in GISD,GISD_listed_globally
Anacaena lutescens,Italy,No_EASIN_data,Anacaena lutescens; Not in GISD,GISD_listed_globally
Anteaeolidiella lurana,Italy,No_EASIN_data,Anteaeolidiella lurana; Not in GISD,GISD_listed_globally
Arbacia lixula,Italy,No_EASIN_data,Arbacia lixula; Not in GISD,GISD_listed_globally
Ascidia ahodori,Italy,No_EASIN_data,Ascidia ahodori; Not in GISD,GISD_listed_globally
Aureococcus anophagefferens,Italy,No_EASIN_data,Aureococcus anophagefferens; Not in GISD,GISD_listed_globally
Bittium reticulatum,Italy,No_EASIN_data,Bittium reticulatum; Not in GISD,GISD_listed_globally
Bougainvillia muscus,Italy,No_EASIN_data,Bougainvillia muscus; Not in GISD,GISD_listed_globally
Caecum trachea,Italy,No_EASIN_data,Caecum trachea; Not in GISD,GISD_listed_globally
Campanularia hincksii,Italy,No_EASIN_data,Campanularia hincksii; Not in GISD,GISD_listed_globally
Centropages ponticus,Italy,No_EASIN_data,Centropages ponticus; Not in GISD,GISD_listed_globally
Chaetoceros socialis,Italy,No_EASIN_data,Chaetoceros socialis; Not in GISD,GISD_listed_globally
Chaetoceros tenuissimus,Italy,No_EASIN_data,Chaetoceros tenuissimus; Not in GISD,GISD_listed_globally
Clausocalanus furcatus,Italy,No_EASIN_data,Clausocalanus furcatus; Not in GISD,GISD_listed_globally
Clausocalanus lividus,Italy,No_EASIN_data,Clausocalanus lividus; Not in GISD,GISD_listed_globally
Clausocalanus mastigophorus,Italy,No_EASIN_data,Clausocalanus mastigophorus; Not in GISD,GISD_listed_globally
Clausocalanus paululus,Italy,No_EASIN_data,Clausocalanus paululus; Not in GISD,GISD_listed_globally
Clytia noliformis,Italy,No_EASIN_data,Clytia noliformis; Not in GISD,GISD_listed_globally
Cobitis atlantica,Italy,No_EASIN_data,Cobitis atlantica; Not in GISD,GISD_listed_globally
Cornularia cornucopiae,Italy,No_EASIN_data,Cornularia cornucopiae; Not in GISD,GISD_listed_globally
Crematogaster scutellaris,Italy,No_EASIN_data,Crematogaster scutellaris; Not in GISD,GISD_listed_globally
Dosidicus gigas,Italy,No_EASIN_data,Dosidicus gigas; Not in GISD,GISD_listed_globally
Doto cervicenigra,Italy,No_EASIN_data,Doto cervicenigra; Not in GISD,GISD_listed_globally
Duvaucelia manicata,Italy,No_EASIN_data,Duvaucelia manicata; Not in GISD,GISD_listed_globally
Ectopleura wrighti,Italy,No_EASIN_data,Ectopleura wrighti; Not in GISD,GISD_listed_globally
Ectopsocus briggsi,Italy,No_EASIN_data,Ectopsocus briggsi; Not in GISD,GISD_listed_globally
Edmundsella pedata,Italy,No_EASIN_data,Edmundsella pedata; Not in GISD,GISD_listed_globally
Heliconoides inflatus,Italy,No_EASIN_data,Heliconoides inflatus; Not in GISD,GISD_listed_globally
Hemiselmis andersenii,Italy,No_EASIN_data,Hemiselmis andersenii; Not in GISD,GISD_listed_globally
Holothuria mammata,Italy,No_EASIN_data,Holothuria mammata; Not in GISD,GISD_listed_globally
Jujubinus gravinae,Italy,No_EASIN_data,Jujubinus gravinae; Not in GISD,GISD_listed_globally
Kapraunia schneideri,Italy,No_EASIN_data,Kapraunia schneideri; Not in GISD,GISD_listed_globally
Laccobius striatulus,Italy,No_EASIN_data,Laccobius striatulus; Not in GISD,GISD_listed_globally
Leiochone leiopygos,Italy,No_EASIN_data,Leiochone leiopygos; Not in GISD,GISD_listed_globally
Loensia variegata,Italy,No_EASIN_data,Loensia variegata; Not in GISD,GISD_listed_globally
Micromonas pusilla,Italy,No_EASIN_data,Micromonas pusilla; Not in GISD,GISD_listed_globally
Naineris setosa,Italy,No_EASIN_data,Naineris setosa; Not in GISD,GISD_listed_globally
Nemastoma dichotomum,Italy,No_EASIN_data,Nemastoma dichotomum; Not in GISD,GISD_listed_globally
Nototeredo knoxi,Italy,No_EASIN_data,Nototeredo knoxi; Not in GISD,GISD_listed_globally
Obelia dichotoma,Italy,No_EASIN_data,Obelia dichotoma; Not in GISD,GISD_listed_globally
Odontosyllis gibba,Italy,No_EASIN_data,Odontosyllis gibba; Not in GISD,GISD_listed_globally
Oithona nana,Italy,No_EASIN_data,Oithona nana; Not in GISD,GISD_listed_globally
Oithona plumifera,Italy,No_EASIN_data,Oithona plumifera; Not in GISD,GISD_listed_globally
Olpidiopsis feldmanni,Italy,No_EASIN_data,Olpidiopsis feldmanni; Not in GISD,GISD_listed_globally
Oltmannsiellopsis viridis,Italy,No_EASIN_data,Oltmannsiellopsis viridis; Not in GISD,GISD_listed_globally
Oncaea scottodicarloi,Italy,No_EASIN_data,Oncaea scottodicarloi; Not in GISD,GISD_listed_globally
