Location,Site name,KitsSent,Codes,Codes1,kit sent,Samples received NTNU,Samples received CIBIO,Samples in PlutoF,Jan 2024 follow up email sent?,May 2024 follow up email sent?,October 2024 follow up email sent?,
Greece,,1,BGE.MIS0752,BGEMIS0752,23.01.2024,,Y,Y,,03.05.2025,,
Greece,,1,BGE.MIS0753,BGEMIS0753,23.01.2024,,Y,Y,,03.05.2025,,
Greece,,1,BGE.MIS0754,BGEMIS0754,23.01.2024,,Y,Y,,03.05.2025,,
Greece,,1,BGE.MIS0755,BGEMIS0755,23.01.2024,,Y,,,03.05.2025,16.10.2024 Elisavet Kaitetzidou <ekaitetz@gmail.com>,22.10.2024 - Eliza
Greece,,1,BGE.MIS0756,BGEMIS0756,23.01.2024,,Y,,,03.05.2025,16.10.2024 Elisavet Kaitetzidou <ekaitetz@gmail.com>,22.10.2024 - Eliza
Greece,,1,BGE.MIS0757,BGEMIS0757,23.01.2024,,Y,,,03.05.2025,16.10.2024 Elisavet Kaitetzidou <ekaitetz@gmail.com>,22.10.2024 - Eliza
Greece,,1,BGE.MIS0758,BGEMIS0758,23.01.2024,,Y,,,03.05.2025,16.10.2024 Elisavet Kaitetzidou <ekaitetz@gmail.com>,22.10.2024 - Eliza
Greece,,1,BGE.MIS0759,BGEMIS0759,23.01.2024,,Y,,,03.05.2025,16.10.2024 Elisavet Kaitetzidou <ekaitetz@gmail.com>,22.10.2024 - Eliza
Greece,,1,BGE.MIS0760,BGEMIS0760,23.01.2024,,Y,,,03.05.2025,16.10.2024 Elisavet Kaitetzidou <ekaitetz@gmail.com>,22.10.2024 - Eliza
Greece,,1,BGE.MIS0761,BGEMIS0761,23.01.2024,,Y,Y,,03.05.2025,,
Greece,,1,BGE.MIS0762,BGEMIS0762,23.01.2024,,Y,Y,,03.05.2025,,
Greece,,1,BGE.MIS0763,BGEMIS0763,23.01.2024,,Y,Y,,03.05.2025,,
Germany,,1,BGE.MIS0764,BGEMIS0764,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0765,BGEMIS0765,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0766,BGEMIS0766,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0767,BGEMIS0767,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0768,BGEMIS0768,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0769,BGEMIS0769,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0770,BGEMIS0770,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0771,BGEMIS0771,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0772,BGEMIS0772,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0773,BGEMIS0773,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0774,BGEMIS0774,,,,,,,16.10.2024,
Germany,,1,BGE.MIS0775,BGEMIS0775,,,,,,,16.10.2024,
Italy,Genova's downtown seaside,1,BGE.MIS0640,BGEMIS0640,,,,,Kit returned to us,,,
Italy,Genova's downtown seaside,1,BGE.MIS0641,BGEMIS0641,,,,,Kit returned to us,,,
Italy,Genova's downtown seaside,1,BGE.MIS0642,BGEMIS0642,,,,,Kit returned to us,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Maasvlakte, Ohiokade",,BGE.MIS0512,BGEMIS0512,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Maasvlakte, Ohiokade",,BGE.MIS0502,BGEMIS0502,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Maasvlakte, Ohiokade",,BGE.MIS0503,BGEMIS0503,,,N,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Europoort",,BGE.MIS0505,BGEMIS0505,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Europoort",,BGE.MIS0504,BGEMIS0504,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Europoort",,BGE.MIS0506,BGEMIS0506,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rozenburg, Nieuwe Weg",,BGE.MIS0534,BGEMIS0534,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rozenburg, Nieuwe Weg",,BGE.MIS0535,BGEMIS0535,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rozenburg, Nieuwe Weg",,BGE.MIS0536,BGEMIS0536,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Heijplaat, Droogdokweg 71",,BGE.MIS0539,BGEMIS0539,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Heijplaat, Droogdokweg 71",,BGE.MIS0540,BGEMIS0540,,,Y,Y,,,,
Netherlands,"Zuid-Holland, Rotterdam, Rotterdam, Heijplaat, Droogdokweg 71",,BGE.MIS0541,BGEMIS0541,,,Y,Y,,,,
